Batch,Reward,Loss
164.0,200,2.0675228173097473
165.0,188,2.1258215507001137
166.0,128,2.002568387574001
167.0,200,2.243872971932023
168.0,200,2.351457964697792
169.0,200,1.918357055266978
170.0,200,1.7242328557111464
171.0,200,2.111929845661688
172.0,200,2.105107811585548
173.0,200,2.1016741807275556
174.0,200,2.1230290916753978
175.0,47,2.2110607237600757
176.0,200,2.065987766528739
177.0,200,1.8075320699414366
178.0,143,1.8510637097087346
179.0,56,1.764577604422014
180.0,200,2.197079747954317
181.0,200,1.9763529438548393
182.0,200,2.100090645104647
183.0,200,2.058685514656109
184.0,87,2.2738297127632774
185.0,200,1.7397018107037021
186.0,44,1.7867283946253767
187.0,200,1.4155273257423837
188.0,200,1.80423289498966
189.0,200,2.030001529726745
190.0,200,1.9880890947647367
191.0,200,2.1065788642776844
192.0,200,2.0348405052149006
193.0,52,2.0581635488074155
194.0,74,1.98871037577626
195.0,200,2.203083631451332
196.0,200,2.2190763244457923
197.0,200,2.0648089790873296
198.0,200,2.408289854247201
199.0,200,2.0034243163970182
200.0,133,1.8191562077556431
201.0,200,1.7497012521211917
202.0,200,1.8485756782132972
203.0,200,2.140920226289965
204.0,184,2.0354880556503514
205.0,137,2.0181940288859463
206.0,200,1.572988223438988
207.0,200,1.7214441449442177
208.0,200,1.8364197996124036
209.0,200,1.6362580953944814
210.0,200,1.7938140614594345
211.0,176,2.086995473599434
212.0,200,1.4307690055183222
213.0,200,1.523393806865376
214.0,200,1.6798629003447565
215.0,200,1.5352796606614119
216.0,200,1.5250377760191631
217.0,99,2.2258350101109166
218.0,168,1.9479869203921807
219.0,68,1.6955120076760624
220.0,200,1.9862689601249495
221.0,200,2.1276451134993444
222.0,200,2.1775502138963465
223.0,200,2.067254403887325
224.0,200,1.797366772254888
225.0,200,1.4727188611541797
226.0,200,1.2831828179720697
227.0,200,1.6250550647420208
228.0,180,1.6644413231546322
229.0,200,2.101086606834239
230.0,200,1.93319087303288
231.0,200,1.2761240150681352
232.0,200,1.5890393980105355
233.0,200,1.8996449050740865
234.0,200,1.322080324587204
235.0,200,1.1462417815985915
236.0,200,1.2975324646383524
237.0,200,1.267436917491105
238.0,200,1.0083928305524676
239.0,200,1.0140115338164335
240.0,200,0.8528591671938326
241.0,200,1.0148587882146238
242.0,200,1.1136291877784923
243.0,200,0.9766691637367474
244.0,200,1.0472390375630376
245.0,200,0.9849483391302335
246.0,198,0.7908794650575965
